year,month,maxTemp
1929,8,68.69
1929,9,70.69
1929,10,55.8
1929,11,50.42
1929,12,48.17
1930,1,47.43
1930,2,42.94
1930,3,47.69
1930,4,50.85
1930,5,55.57
1930,6,63.71
1930,7,63.57
1930,8,64.14
1930,9,61.11
1930,10,56.05
1930,11,50.09
1930,12,47.28
1931,1,42.47
1931,2,42.3
1931,3,43.54
1931,4,50.3
1931,5,60.63
1931,6,63.0
1931,7,65.82
1931,8,64.12
1931,9,59.05
1931,10,55.51
1931,11,49.97
1931,12,45.29
1932,1,45.95
1932,2,41.65
1932,3,44.58
1932,4,50.59
1932,5,57.79
1932,6,63.3
1932,7,68.09
1932,8,69.43
1932,9,63.3
1932,10,53.81
1932,11,48.27
1932,12,43.64
1933,1,22.08
1933,2,24.54
1933,3,34.27
1933,4,53.45
1933,5,61.5
1933,6,71.19
1933,7,78.19
1933,8,73.79
1933,9,65.13
1933,10,52.38
1933,11,38.54
1933,12,23.68
1934,1,23.0
1934,2,30.03
1934,3,34.19
1934,4,47.67
1934,5,64.32
1934,6,72.5
1934,7,74.62
1934,8,73.93
1934,9,61.12
1934,10,52.7
1934,11,37.18
1934,12,28.61
1935,1,38.59
1935,2,42.39
1935,3,46.48
1935,4,57.18
1935,5,62.13
1935,6,72.79
1935,7,76.79
1935,8,75.95
1935,9,65.33
1935,10,53.03
1935,11,32.97
1935,12,26.49
1936,1,26.8
1936,2,29.54
1936,3,37.42
1936,4,49.38
1936,5,61.57
1936,6,72.34
1936,7,75.84
1936,8,72.58
1936,9,64.85
1936,10,51.43
1936,11,40.34
1936,12,30.86
1937,1,21.38
1937,2,26.94
1937,3,33.98
1937,4,48.63
1937,5,62.3
1937,6,71.49
1937,7,75.55
1937,8,73.74
1937,9,67.02
1937,10,52.82
1937,11,36.85
1937,12,24.95
1938,1,40.6
1938,2,41.05
1938,3,53.42
1938,4,49.3
1938,5,59.54
1938,6,67.45
1938,7,69.34
1938,8,70.67
1938,9,65.39
1938,10,54.37
1938,11,49.99
1938,12,37.46
1939,1,41.29
1939,2,42.09
1939,3,42.1
1939,4,55.25
1939,5,56.89
1939,6,68.81
1939,7,69.55
1939,8,71.24
1939,9,63.44
1939,10,49.04
1939,11,46.17
1939,12,33.22
1940,1,21.56
1940,2,30.23
1940,3,42.81
1940,4,55.22
1940,5,62.72
1940,6,71.5
1940,7,70.06
1940,8,66.41
1940,9,63.08
1940,10,53.08
1940,11,47.13
1940,12,31.2
1941,1,27.02
1941,2,37.34
1941,3,45.43
1941,4,49.43
1941,5,57.41
1941,6,70.42
1941,7,74.78
1941,8,68.21
1941,9,63.47
1941,10,52.66
1941,11,40.29
1941,12,38.87
1942,1,23.72
1942,2,28.24
1942,3,43.94
1942,4,55.22
1942,5,64.82
1942,6,69.17
1942,7,72.33
1942,8,76.47
1942,9,71.67
1942,10,62.11
1942,11,43.75
1942,12,41.14
1943,1,38.44
1943,2,47.16
1943,3,54.29
1943,4,61.45
1943,5,68.33
1943,6,70.81
1943,7,77.57
1943,8,78.51
1943,9,70.26
1943,10,63.2
1943,11,47.98
1943,12,41.4
1944,1,61.43
1944,2,63.3
1944,3,70.37
1944,4,77.4
1944,5,84.31
1944,6,87.88
1944,7,87.9
1944,8,87.73
1944,9,84.12
1944,10,77.65
1944,11,69.98
1944,12,62.25
1945,1,58.73
1945,2,62.41
1945,3,73.4
1945,4,76.93
1945,5,81.87
1945,6,85.47
1945,7,86.96
1945,8,85.53
1945,9,82.14
1945,10,75.44
1945,11,68.63
1945,12,59.18
1946,1,51.54
1946,2,51.79
1946,3,62.33
1946,4,71.42
1946,5,74.67
1946,6,79.42
1946,7,82.39
1946,8,79.43
1946,9,74.93
1946,10,67.03
1946,11,58.45
1946,12,57.68
1947,1,48.58
1947,2,53.17
1947,3,58.66
1947,4,64.37
1947,5,73.15
1947,6,76.79
1947,7,79.82
1947,8,82.16
1947,9,72.45
1947,10,64.02
1947,11,50.07
1947,12,38.3
1948,1,13.78
1948,2,17.24
1948,3,31.26
1948,4,50.38
1948,5,63.76
1948,6,72.8
1948,7,78.22
1948,8,74.52
1948,9,63.11
1948,10,50.9
1948,11,32.06
1948,12,16.54
1949,1,23.92
1949,2,25.62
1949,3,33.05
1949,4,51.41
1949,5,63.32
1949,6,71.78
1949,7,79.98
1949,8,76.92
1949,9,65.7
1949,10,53.4
1949,11,35.76
1949,12,22.37
1950,1,17.33
1950,2,26.13
1950,3,37.3
1950,4,51.61
1950,5,64.07
1950,6,73.04
1950,7,77.05
1950,8,75.06
1950,9,65.47
1950,10,51.51
1950,11,33.12
1950,12,25.91
1951,1,21.12
1951,2,21.81
1951,3,37.02
1951,4,54.89
1951,5,63.73
1951,6,73.3
1951,7,77.83
1951,8,75.9
1951,9,67.4
1951,10,50.96
1951,11,38.47
1951,12,31.97
1952,1,26.52
1952,2,27.74
1952,3,35.33
1952,4,53.33
1952,5,63.61
1952,6,73.23
1952,7,78.72
1952,8,76.5
1952,9,66.3
1952,10,51.83
1952,11,33.95
1952,12,26.53
1953,1,27.61
1953,2,27.73
1953,3,40.82
1953,4,54.64
1953,5,64.26
1953,6,73.75
1953,7,78.22
1953,8,76.14
1953,9,68.1
1953,10,54.76
1953,11,34.67
1953,12,28.99
1954,1,20.72
1954,2,23.85
1954,3,37.27
1954,4,50.8
1954,5,63.11
1954,6,73.83
1954,7,77.42
1954,8,76.51
1954,9,68.75
1954,10,56.07
1954,11,40.03
1954,12,30.32
1955,1,29.36
1955,2,30.36
1955,3,36.37
1955,4,50.13
1955,5,62.65
1955,6,71.99
1955,7,76.96
1955,8,74.87
1955,9,66.42
1955,10,55.14
1955,11,40.5
1955,12,30.08
1956,1,23.97
1956,2,23.74
1956,3,36.06
1956,4,48.83
1956,5,61.92
1956,6,70.21
1956,7,74.19
1956,8,73.62
1956,9,66.18
1956,10,54.61
1956,11,38.05
1956,12,28.09
1957,1,26.72
1957,2,30.15
1957,3,39.23
1957,4,54.04
1957,5,65.01
1957,6,73.96
1957,7,77.76
1957,8,76.8
1957,9,69.56
1957,10,58.27
1957,11,45.86
1957,12,34.99
1958,1,30.11
1958,2,35.75
1958,3,40.76
1958,4,54.61
1958,5,66.37
1958,6,74.64
1958,7,78.62
1958,8,76.69
1958,9,68.57
1958,10,57.24
1958,11,44.99
1958,12,35.65
1959,1,28.19
1959,2,33.93
1959,3,45.71
1959,4,56.72
1959,5,67.04
1959,6,75.35
1959,7,79.21
1959,8,77.67
1959,9,68.36
1959,10,56.01
1959,11,43.15
1959,12,33.15
1960,1,31.61
1960,2,36.94
1960,3,42.94
1960,4,56.39
1960,5,66.03
1960,6,75.33
1960,7,78.77
1960,8,76.92
1960,9,69.07
1960,10,57.66
1960,11,43.74
1960,12,33.23
1961,1,31.79
1961,2,36.67
1961,3,46.48
1961,4,58.11
1961,5,67.55
1961,6,75.62
1961,7,78.52
1961,8,76.93
1961,9,69.72
1961,10,56.49
1961,11,44.11
1961,12,32.97
1962,1,33.8
1962,2,36.4
1962,3,44.77
1962,4,57.56
1962,5,67.82
1962,6,73.84
1962,7,78.61
1962,8,76.72
1962,9,68.7
1962,10,57.91
1962,11,42.92
1962,12,33.75
1963,1,28.39
1963,2,35.22
1963,3,43.26
1963,4,55.08
1963,5,67.61
1963,6,74.33
1963,7,79.18
1963,8,77.33
1963,9,69.75
1963,10,58.02
1963,11,43.86
1963,12,33.57
1964,1,35.64
1964,2,35.59
1964,3,46.43
1964,4,58.28
1964,5,67.98
1964,6,75.34
1964,7,79.84
1964,8,77.84
1964,9,70.98
1964,10,61.66
1964,11,49.92
1964,12,41.38
1965,1,36.93
1965,2,37.68
1965,3,48.56
1965,4,57.24
1965,5,66.19
1965,6,75.03
1965,7,77.95
1965,8,75.8
1965,9,70.46
1965,10,59.04
1965,11,44.93
1965,12,40.26
1966,1,32.77
1966,2,36.53
1966,3,43.36
1966,4,55.35
1966,5,66.67
1966,6,74.94
1966,7,78.64
1966,8,77.82
1966,9,69.48
1966,10,59.39
1966,11,46.46
1966,12,36.02
1967,1,31.32
1967,2,34.74
1967,3,46.31
1967,4,56.33
1967,5,67.74
1967,6,73.27
1967,7,78.45
1967,8,76.84
1967,9,68.71
1967,10,60.61
1967,11,46.83
1967,12,35.17
1968,1,24.38
1968,2,31.25
1968,3,42.15
1968,4,52.73
1968,5,63.14
1968,6,71.46
1968,7,74.58
1968,8,74.12
1968,9,64.85
1968,10,52.54
1968,11,37.4
1968,12,27.52
1969,1,5.84
1969,2,10.11
1969,3,25.55
1969,4,43.09
1969,5,56.47
1969,6,68.18
1969,7,74.36
1969,8,70.04
1969,9,59.93
1969,10,44.66
1969,11,31.32
1969,12,15.77
1970,1,12.51
1970,2,18.82
1970,3,29.45
1970,4,45.97
1970,5,57.91
1970,6,68.73
1970,7,74.63
1970,8,69.55
1970,9,61.03
1970,10,43.52
1970,11,28.41
1970,12,15.82
1971,1,16.28
1971,2,12.95
1971,3,24.14
1971,4,41.16
1971,5,56.14
1971,6,67.11
1971,7,76.52
1971,8,76.8
1971,9,63.51
1971,10,58.05
1971,11,44.55
1971,12,62.16
1972,1,57.55
1972,2,58.11
1972,3,53.61
1972,4,59.17
1972,5,67.53
1972,6,71.97
1972,7,79.33
1972,8,69.0
1972,11,57.9
1973,1,34.1
1973,2,39.33
1973,3,47.03
1973,4,57.86
1973,5,67.26
1973,6,74.88
1973,7,78.19
1973,8,76.68
1973,9,68.89
1973,10,57.54
1973,11,45.83
1973,12,37.45
1974,1,32.85
1974,2,36.66
1974,3,46.74
1974,4,56.74
1974,5,65.54
1974,6,73.13
1974,7,77.32
1974,8,76.18
1974,9,68.97
1974,10,56.85
1974,11,43.97
1974,12,35.73
1975,1,34.99
1975,2,36.53
1975,3,46.48
1975,4,58.12
1975,5,66.98
1975,6,74.34
1975,7,78.67
1975,8,76.71
1975,9,70.18
1975,10,56.76
1975,11,44.4
1975,12,35.93
1976,1,33.67
1976,2,35.44
1976,3,42.69
1976,4,57.71
1976,5,67.03
1976,6,74.73
1976,7,78.52
1976,8,76.91
1976,9,69.49
1976,10,55.9
1976,11,44.42
1976,12,36.08
1977,1,30.3
1977,2,38.25
1977,3,48.8
1977,4,58.87
1977,5,68.64
1977,6,75.78
1977,7,78.83
1977,8,76.69
1977,9,69.88
1977,10,58.9
1977,11,48.89
1977,12,38.89
1978,1,35.75
1978,2,37.22
1978,3,48.3
1978,4,57.97
1978,5,67.38
1978,6,75.06
1978,7,78.56
1978,8,76.4
1978,9,70.16
1978,10,59.42
1978,11,48.25
1978,12,37.73
1979,1,33.71
1979,2,37.95
1979,3,48.08
1979,4,56.19
1979,5,68.52
1979,6,76.06
1979,7,78.51
1979,8,76.99
1979,9,71.25
1979,10,60.13
1979,11,47.66
1979,12,41.95
1980,1,34.86
1980,2,38.85
1980,3,45.77
1980,4,57.74
1980,5,67.73
1980,6,75.74
1980,7,78.96
1980,8,77.02
1980,9,70.49
1980,10,59.38
1980,11,47.95
1980,12,39.26
1981,1,36.79
1981,2,39.93
1981,3,48.98
1981,4,59.08
1981,5,68.1
1981,6,75.74
1981,7,78.98
1981,8,77.61
1981,9,70.36
1981,10,59.94
1981,11,47.35
1981,12,39.72
1982,1,34.95
1982,2,40.1
1982,3,48.21
1982,4,60.06
1982,5,69.05
1982,6,75.32
1982,7,79.23
1982,8,77.42
1982,9,71.14
1982,10,59.72
1982,11,48.68
1982,12,41.55
1983,1,39.04
1983,2,39.63
1983,3,49.21
1983,4,58.84
1983,5,67.35
1983,6,74.72
1983,7,79.72
1983,8,77.84
1983,9,70.8
1983,10,60.38
1983,11,49.51
1983,12,39.68
1984,1,36.94
1984,2,38.68
1984,3,47.7
1984,4,57.85
1984,5,68.24
1984,6,74.65
1984,7,78.31
1984,8,77.09
1984,9,69.7
1984,10,59.91
1984,11,47.59
1984,12,36.8
1985,1,33.45
1985,2,36.21
1985,3,46.59
1985,4,59.21
1985,5,68.24
1985,6,74.29
1985,7,78.31
1985,8,77.45
1985,9,70.44
1985,10,59.63
1985,11,46.13
1985,12,38.62
1986,1,37.53
1986,2,37.41
1986,3,48.75
1986,4,58.97
1986,5,68.25
1986,6,75.35
1986,7,78.35
1986,8,77.02
1986,9,69.78
1986,10,59.84
1986,11,47.62
1986,12,38.48
1987,1,34.44
1987,2,40.17
1987,3,45.69
1987,4,57.88
1987,5,67.8
1987,6,74.53
1987,7,78.84
1987,8,76.88
1987,9,70.91
1987,10,59.42
1987,11,46.6
1987,12,40.35
1988,1,37.78
1988,2,39.5
1988,3,48.02
1988,4,58.94
1988,5,68.47
1988,6,75.95
1988,7,79.77
1988,8,77.88
1988,9,70.63
1988,10,60.86
1988,11,47.7
1988,12,41.38
1989,1,38.91
1989,2,42.33
1989,3,51.73
1989,4,60.01
1989,5,69.23
1989,6,75.26
1989,7,79.92
1989,8,78.23
1989,9,70.79
1989,10,61.13
1989,11,48.58
1989,12,40.77
1990,1,37.72
1990,2,44.23
1990,3,53.35
1990,4,60.05
1990,5,69.16
1990,6,76.05
1990,7,79.63
1990,8,78.9
1990,9,70.55
1990,10,61.7
1990,11,50.24
1990,12,41.19
1991,1,37.92
1991,2,38.48
1991,3,48.0
1991,4,59.23
1991,5,66.79
1991,6,74.93
1991,7,79.25
1991,8,77.62
1991,9,71.7
1991,10,61.36
1991,11,49.21
1991,12,39.7
1992,1,39.7
1992,2,43.23
1992,3,50.09
1992,4,59.47
1992,5,69.79
1992,6,74.76
1992,7,77.97
1992,8,77.89
1992,9,69.46
1992,10,59.05
1992,11,48.87
1992,12,41.21
1993,1,39.53
1993,2,42.52
1993,3,49.93
1993,4,59.55
1993,5,69.27
1993,6,74.75
1993,7,78.01
1993,8,76.87
1993,9,69.32
1993,10,61.16
1993,11,46.46
1993,12,42.3
1994,1,40.8
1994,2,41.51
1994,3,52.13
1994,4,62.14
1994,5,70.09
1994,6,77.01
1994,7,81.36
1994,8,79.55
1994,9,72.76
1994,10,62.81
1994,11,52.22
1994,12,42.93
1995,1,40.71
1995,2,47.0
1995,3,52.27
1995,4,61.94
1995,5,70.07
1995,6,76.85
1995,7,80.4
1995,8,79.26
1995,9,71.33
1995,10,64.66
1995,11,51.79
1995,12,42.06
1996,1,39.11
1996,2,42.25
1996,3,49.46
1996,4,60.11
1996,5,69.69
1996,6,76.16
1996,7,79.0
1996,8,78.05
1996,9,69.65
1996,10,62.2
1996,11,51.55
1996,12,42.84
1997,1,40.05
1997,2,45.48
1997,3,52.64
1997,4,60.73
1997,5,70.01
1997,6,76.32
1997,7,78.88
1997,8,78.93
1997,9,71.43
1997,10,62.0
1997,11,51.88
1997,12,44.01
1998,1,42.08
1998,2,47.55
1998,3,52.44
1998,4,63.28
1998,5,71.84
1998,6,77.31
1998,7,80.85
1998,8,80.0
1998,9,73.54
1998,10,64.13
1998,11,50.91
1998,12,45.23
1999,1,42.79
1999,2,46.37
1999,3,52.35
1999,4,62.79
1999,5,70.63
1999,6,77.26
1999,7,81.29
1999,8,79.53
1999,9,74.48
1999,10,64.34
1999,11,53.94
1999,12,46.24
2000,1,41.66
2000,2,47.19
2000,3,54.65
2000,4,63.71
2000,5,72.2
2000,6,77.92
2000,7,80.65
2000,8,80.75
2000,9,73.68
2000,10,64.55
2000,11,53.27
2000,12,44.82
2001,1,43.51
2001,2,45.7
2001,3,53.93
2001,4,63.21
2001,5,72.77
2001,6,77.37
2001,7,81.34
2001,8,81.02
2001,9,72.76
2001,10,65.31
2001,11,54.53
2001,12,43.77
2002,1,44.86
2002,2,50.04
2002,3,55.23
2002,4,62.88
2002,5,71.32
2002,6,78.19
2002,7,81.9
2002,8,80.24
2002,9,73.71
2002,10,62.16
2002,11,53.04
2002,12,43.77
2003,1,42.55
2003,2,44.29
2003,3,54.17
2003,4,62.56
2003,5,72.03
2003,6,78.31
2003,7,81.86
2003,8,81.86
2003,9,74.0
2003,10,64.11
2003,11,53.63
2003,12,46.29
2004,1,41.15
2004,2,46.5
2004,3,54.32
2004,4,63.16
2004,5,70.55
2004,6,77.12
2004,7,80.64
2004,8,79.67
2004,9,73.97
2004,10,64.61
2004,11,53.73
2004,12,45.16
2005,1,42.61
2005,2,43.81
2005,3,52.51
2005,4,63.56
2005,5,70.77
2005,6,78.01
2005,7,81.85
2005,8,79.7
2005,9,74.87
2005,10,65.3
2005,11,54.02
2005,12,43.81
2006,1,42.21
2006,2,44.55
2006,3,51.69
2006,4,62.95
2006,5,71.43
2006,6,78.68
2006,7,82.71
2006,8,79.98
2006,9,74.32
2006,10,64.93
2006,11,53.77
2006,12,47.34
2007,1,45.09
2007,2,44.98
2007,3,55.14
2007,4,63.35
2007,5,71.96
2007,6,78.39
2007,7,81.27
2007,8,80.7
2007,9,73.6
2007,10,64.82
2007,11,52.8
2007,12,44.46
2008,1,41.8
2008,2,45.92
2008,3,53.67
2008,4,62.52
2008,5,70.7
2008,6,77.27
2008,7,81.18
2008,8,79.6
2008,9,72.65
2008,10,64.76
2008,11,53.53
2008,12,44.18
2009,1,41.3
2009,2,45.45
2009,3,52.86
2009,4,63.22
2009,5,71.64
2009,6,77.32
2009,7,79.45
